"AUP.AX","AURORA PRP UNITS",N/A,-0.24,N/A
"AQJ.AX","AUSASIAMIN FPO",N/A,+0.000,N/A
"ANW.AX","AUS TIN FPO",0.008,+0.000,N/A
"AC8.AX","AUSCANN FPO",0.595,+0.010,N/A
"ASL.AX","AUSDRILL FPO",1.33,-0.06,N/A
"AUC.AX","AUSGOLD FPO",0.028,+0.000,N/A
"AOA.AX","AUSMON FPO",0.005,+0.000,N/A
"AU1.AX","AUSFINSERV FPO",0.025,+0.000,N/A
"ANV.AX",N/A,N/A,N/A,N/A
"AST.AX","AUSNET FPO",1.760,+0.020,N/A
"AQD.AX","AUSQUEST FPO",0.013,+0.000,N/A
"ARK.AX","AUSROC ME FPO",N/A,+0.00,N/A
"ASB.AX","AUSTAL LTD FPO",1.80,+0.00,N/A
"AOK.AX","AUSTEX OIL FPO",0.023,+0.000,N/A
"ANG.AX","AUSTIN ENG FPO",0.17,+0.00,N/A
"AKK.AX","AUSTIN FPO",0.004,+0.000,N/A
"ACK.AX","AUSTOCK FPO",0.74,-0.10,N/A
"APG.AX","AUSTPAC R FPO",0.007,+0.000,N/A
"AGD.AX","AUST GOLD FPO",0.17,+0.00,N/A
"ARH.AX","AUSASN RES FPO",N/A,+0.000,N/A
"ANZ.AX","ANZ BANK FPO",29.45,+0.19,N/A
"AYM.AX","AUSTUNITED FPO",0.005,+0.000,N/A
"AAC.AX","AUST AG CO FPO",1.92,+0.04,N/A
"AAP.AX","AUSAGRIPRO FPO",0.050,+0.000,N/A
"ABX.AX","AUSBAUXITE FPO",0.12,-0.01,N/A
"ACO.AX","AUSCAREER FPO",N/A,+0.00,N/A
"XCL.AX",N/A,N/A,N/A,N/A
"AHF.AX","AUSDAIRY STAPLED",0.120,-0.005,N/A
"AYF.AX","AUST EIF UNIT",6.05,+0.03,N/A
"AEF.AX","A ETHICAL FPO",82.79,-1.00,N/A
"AFG.AX","AUSTRA FIN FPO",1.400,-0.005,N/A
"AFI.AX","AUS.FOUND. FPO",5.87,-0.04,N/A
"AQF.AX","AUSGOVMAST FPO",2.00,+0.00,N/A
"GSB.AX",N/A,N/A,N/A,N/A
"GSI.AX",N/A,N/A,N/A,N/A
"ALF.AX","AUST LEAD FPO",1.235,+0.005,N/A
